"","File","Distance","Experiment","Population"
"416","results_simple_16_2_random_10.txt",5,"Evostar","16"
"417","results_simple_16_2_random_10.txt",1,"Evostar","16"
"418","results_simple_16_2_random_10.txt",1,"Evostar","16"
"419","results_simple_16_2_random_10.txt",0,"Evostar","16"
"420","results_simple_16_2_random_10.txt",1,"Evostar","16"
"421","results_simple_16_2_random_10.txt",1,"Evostar","16"
"422","results_simple_16_2_random_10.txt",2,"Evostar","16"
"423","results_simple_16_2_random_10.txt",3,"Evostar","16"
"424","results_simple_16_2_random_10.txt",2,"Evostar","16"
"425","results_simple_16_2_random_10.txt",3,"Evostar","16"
"426","results_simple_16_2_random_10.txt",2,"Evostar","16"
"427","results_simple_16_2_random_10.txt",4,"Evostar","16"
"428","results_simple_16_2_random_10.txt",2,"Evostar","16"
"429","results_simple_16_2_random_10.txt",2,"Evostar","16"
"430","results_simple_16_2_random_10.txt",1,"Evostar","16"
"431","results_simple_16_2_random_10.txt",0,"Evostar","16"
"432","results_simple_16_2_random_10.txt",2,"Evostar","16"
"433","results_simple_16_2_random_10.txt",3,"Evostar","16"
"434","results_simple_16_2_random_10.txt",2,"Evostar","16"
"435","results_simple_16_2_random_10.txt",1,"Evostar","16"
"436","results_simple_16_2_random_10.txt",2,"Evostar","16"
"437","results_simple_16_2_random_10.txt",4,"Evostar","16"
"438","results_simple_16_2_random_10.txt",2,"Evostar","16"
"439","results_simple_16_2_random_10.txt",2,"Evostar","16"
"440","results_simple_16_2_random_10.txt",1,"Evostar","16"
"441","results_simple_16_2_random_10.txt",2,"Evostar","16"
"442","results_simple_16_2_random_10.txt",0,"Evostar","16"
"443","results_simple_16_2_random_10.txt",3,"Evostar","16"
"444","results_simple_16_2_random_10.txt",4,"Evostar","16"
"445","results_simple_16_2_random_10.txt",3,"Evostar","16"
"446","results_simple_16_2_random_10.txt",7,"Evostar","16"
"447","results_simple_16_2_random_10.txt",3,"Evostar","16"
"448","results_simple_16_2_random_10.txt",3,"Evostar","16"
"449","results_simple_16_2_random_10.txt",2,"Evostar","16"
"450","results_simple_16_2_random_10.txt",3,"Evostar","16"
"451","results_simple_16_2_random_10.txt",3,"Evostar","16"
"452","results_simple_16_2_random_10.txt",0,"Evostar","16"
"453","results_simple_16_2_random_10.txt",4,"Evostar","16"
"454","results_simple_16_2_random_10.txt",6,"Evostar","16"
"455","results_simple_16_2_random_10.txt",4,"Evostar","16"
"456","results_simple_16_2_random_10.txt",4,"Evostar","16"
"457","results_simple_16_2_random_10.txt",3,"Evostar","16"
"458","results_simple_16_2_random_10.txt",2,"Evostar","16"
"459","results_simple_16_2_random_10.txt",4,"Evostar","16"
"460","results_simple_16_2_random_10.txt",3,"Evostar","16"
"461","results_simple_16_2_random_10.txt",5,"Evostar","16"
"462","results_simple_16_2_random_10.txt",3,"Evostar","16"
"463","results_simple_16_2_random_10.txt",3,"Evostar","16"
